Orbit | Approx. Location (a) | Minimal Polynomial (a)                                                                                         | Approx. Location (b) | Minimal Polynomial (b)
gD-23 | 1.0000000000000000   | a - 1                                                                                                          | 1.618033988749895    | b^2 - b - 1
gD-24 | 1.0161181856777235   | a^10 - 6a^9 + 14a^8 - 6a^7 + 14a^6 + 51a^5 + 52a^4 - 48a^3 - 58a^2 - 18a - 1                                   | 0.4010668548007027   | b^10 + 3b^9 + 13b^8 + 30b^7 + 44b^6 + 56b^5 + 37b^4 + 9b^3 + 4b^2 - 5b - 1
gD-25 | 1.0925346146633688   | 9a^10 + 27a^9 + 9a^8 - 42a^7 - 38a^6 + 10a^5 + 9a^4 - 10a^3 + 5a^2 + 15a + 5                                   | 3.0631099995483595   | 9b^10 - 36b^9 - 78b^8 + 129b^7 + 349b^6 + 528b^5 + 449b^4 + 252b^3 + 87b^2 + 15b + 1
gD-26 | 1.3175210576926824   | 11a^12 - 109a^11 + 113a^10 + 980a^9 + 732a^8 - 927a^7 - 1695a^6 - 846a^5 + 56a^4 + 124a^3 - 3a^2 - 20a + 4     | 0.26218853928855107  | 11b^12 + 59b^11 + 211b^10 + 543b^9 + 1053b^8 + 1497b^7 + 1518b^6 + 1008b^5 + 339b^4 - 40b^3 - 75b^2 - 10b + 5
gD-27 | 1.618033988749895    | a^2 - a - 1                                                                                                    | 0.6180339887498949   | b^2 + b - 1
gD-28 | 2.3165124291731325   | a^4 - a^3 - 2a^2 - 2a - 1                                                                                      | 2.3165124291731325   | b^4 - b^3 - 2b^2 - 2b - 1
gD-29 | 2.879430730576313    | a^8 - 4a^7 + a^6 + 11a^5 - 9a^4 - 20a^3 + 25a^2 - 5a - 5                                                       | 3.0624873879730234   | b^8 - b^7 - 4b^6 - 6b^5 - 4b^4 + 5b^2 + 5b - 5
gD-30 | 4.9156590604985535   | 11a^10 - 25a^9 - 103a^8 - 148a^7 - 201a^6 - 178a^5 - 11a^4 + 88a^3 + 51a^2 - 5                                 | 2.344323718830237    | 11b^10 + 15b^9 - 39b^8 - 109b^7 - 94b^6 + 20b^5 + 110b^4 + 102b^3 + 52b^2 + 12b + 1
gD-31 | 6.029268860167623    | 11a^12 - 58a^11 - 69a^10 + 42a^9 + 346a^8 + 462a^7 + 303a^6 + 38a^5 - 58a^4 - 30a^3 - a^2 + 6a - 1             | 2.3603983469513996   | 11b^12 + 37b^11 + 44b^10 - 82b^9 - 389b^8 - 736b^7 - 808b^6 - 496b^5 - 28b^4 + 240b^3 + 224b^2 + 96b + 16
gD-32 | 6.075111680945416    | 16a^12 - 60a^11 - 225a^10 - 110a^9 + 486a^8 + 828a^7 + 354a^6 - 130a^5 - 171a^4 - 76a^3 - 27a^2 - 4a - 1       | 3.3889610655540374   | 16b^12 + 48b^11 - 61b^10 - 437b^9 - 1163b^8 - 1604b^7 - 1532b^6 - 953b^5 - 387b^4 - 56b^3 + 24b^2 + 20b + 5
gD-33 | 6.223509274599759    | 5a^12 - 25a^11 - 71a^10 + 138a^9 + 352a^8 + 407a^7 - 12a^6 - 131a^5 - 59a^4 - 30*a^3 + 20a^2 + 15a - 5         | 2.29490789343316     | 5b^12 + 5b^11 - 31b^10 - 127b^9 - 147b^8 + 147b^7 + 804b^6 + 1404b^5 + 1449b^4 + 940b^3 + 365b^2 + 70b + 5
gD-34 | 6.553520728908835    | 16a^12 - 68a^11 - 281a^10 + 39a^9 + 1135a^8 + 1818a^7 + 1175a^6 - 39a^5 - 664a^4 - 542a^3 - 219a^2 - 46a - 4   | 11.708566661129797   | 16b^12 - 88b^11 - 903b^10 - 2716b^9 - 3732b^8 - 1626b^7 + 1803b^6 + 2601b^5 + 975b^4 - 183b^3 - 226b^2 - 55b - 5
gD-35 | 8.661545299587738    | a^10 - 10a^9 + 10a^8 + 23a^7 - 70a^6 - 85a^5 + 6a^4 + 35a^3 - 100a^2 - 50a - 5                                 | 4.487648311447792    | b^10 - 2b^9 - 8b^8 - 12b^7 - 10b^6 + 2b^5 - 6b^4 - 5b^3 + 15b^2 + 15b + 5
gD-36 | 8.681603886077832    | a^12 - 12a^11 + 30a^10 + 4a^9 - 144a^8 + 144a^7 + 264a^6 - 360a^5 - 216a^4 + 304a^3 + 96a^2 - 96a - 16         | 4.49171158841194     | b^12 - 21b^10 + 18b^8 - 29b^6 + 30b^4 - 9b^2 + 1
gD-37 | 8.888972815387444    | 16a^12 - 104a^11 - 327a^10 - 160a^9 + 311a^8 + 762a^7 + 1168a^6 + 1206a^5 + 854a^4 + 448a^3 + 186a^2 + 50a - 5 | 7.04857697405026     | 16b^12 - 20b^11 - 441b^10 - 1309b^9 - 1465b^8 + 339b^7 + 2716b^6 + 2982b^5 + 1370b^4 + 121b^3 - 104b^2 - 15b + 5
gD-38 | 13.522033185389361   | a^12 - 9a^11 - 57a^10 - 61a^9 + 66a^8 + 22a^7 - 202a^6 + 76a^5 + 514a^4 + 335a^3 + 105a^2 + 85a + 5            | 19.120350091160105   | b^12 - 17b^11 - 44b^10 + 58b^9 + 151b^8 + 71b^7 + 196b^6 + 231b^5 - 36b^4 - 60b^3 + 75b^2 - 35b + 5
