0	0
0	1
2	0
2	2
2	1
3	0
3	1
3	3
4	0
4	1
4	4
5	0
5	1
5	5
6	0
6	1
7	0
7	3
8	0
8	4
9	0
9	2
9	1
10	0
10	2
10	3
11	0
11	2
11	4
12	6
12	0
13	0
13	1
14	0
14	7
15	0
15	8
16	0
16	2
17	9
17	0
18	0
18	2
18	3
19	6
19	0
20	0
20	3
20	4
21	10
21	0
22	11
22	0
23	0
23	1
24	9
24	0
25	12
25	0
26	0
26	7
27	11
27	0
28	13
28	0
29	0
29	1
29	3
30	0
30	3
31	0
31	1
31	4
32	0
32	2
32	4
33	0
33	4
34	0
34	5
35	0
35	5
36	2
36	1
37	1
37	4
38	0
38	1
38	5
39	14
39	1
40	0
40	1
41	1
41	15
42	1
42	8
43	1
43	3
44	2
44	1
44	3
45	1
45	3
45	4
46	2
46	1
47	16
47	1
48	14
48	1
49	2
49	1
49	3
50	2
50	1
50	4
51	12
51	1
52	0
52	1
53	17
53	1
54	16
54	1
55	10
55	1
56	1
56	3
56	4
57	17
57	1
58	13
58	1
59	1
59	4
60	1
60	5
61	0
61	2
62	1
62	3
63	18
64	19
65	20
66	18
66	4
67	2
67	3
68	2
68	4
69	2
69	3
70	3
70	4
71	13
72	15
73	4
74	17
75	3
75	4
76	7
77	13
78	11
79	4
80	7
81	15
82	21
83	21
84	22
84	0
85	0
85	3
85	4
86	19
87	1
87	23
88	24
88	2
89	18
89	4
90	25
91	19
91	4
92	26
93	19
93	3
94	27
95	28
95	1
96	2
96	1
96	4
97	20
98	0
98	29
99	30
99	3
100	31
101	4
101	20
102	2
102	20
103	32
104	33
105	34
106	35
106	2
107	35
107	3
108	2
108	3
108	36
109	37
110	35
110	4
111	38
112	39
113	35
113	2
114	35
114	3
115	2
115	3
115	36
116	39
117	38
118	35
118	4
119	37
120	18
120	4
121	2
121	36
122	21
122	2
123	21
123	2
124	2
124	36
125	3
125	36
126	21
126	3
127	21
127	3
128	3
128	36
129	40
129	4
130	41
131	42
132	43
133	43
134	42
135	41
136	27
137	19
137	3
138	26
139	25
140	33
141	32
142	2
142	20
143	31
144	18
144	36
144	5
145	4
145	20
146	19
146	4
147	44
147	5
148	28
148	1
149	14
149	3
150	14
150	4
151	45
152	2
152	3
153	46
154	47
155	3
155	48
156	49
156	3
157	4
158	50
159	4
159	15
160	14
160	4
161	2
161	4
162	4
162	8
163	16
163	3
164	51
165	52
166	53
167	54
168	55
168	2
169	16
169	2
170	12
170	3
171	2
171	3
172	2
172	3
172	4
173	14
173	3
174	16
174	3
175	56
176	57
177	12
177	0
178	58
178	0
179	59
180	2
180	60
181	61
181	2
182	6
182	2
183	62
184	47
185	63
185	4
186	17
186	2
187	61
187	2
188	64
188	4
189	65
190	66
190	0
191	0
191	8
192	2
192	3
193	46
194	4
195	56
196	6
196	2
197	6
197	4
198	9
198	2
199	10
199	2
200	2
200	3
201	2
201	3
201	4
202	4
202	7
203	51
204	67
205	68
206	54
207	55
207	3
208	9
208	3
209	6
209	4
210	4
210	7
211	4
211	8
212	69
213	50
214	10
214	1
215	58
215	1
216	70
217	3
217	48
218	11
218	3
219	64
219	4
220	49
220	3
221	63
221	4
222	71
223	72
223	1
224	1
224	8
225	55
225	2
226	1
226	15
227	16
227	2
228	52
229	53
230	12
230	3
231	17
231	2
232	55
232	3
233	9
233	3
234	67
235	68
236	9
236	2
237	10
237	2
238	1
238	23
239	2
239	60
240	11
240	3
241	73
242	11
243	51
243	4
244	51
244	4
245	17
246	4
246	15
247	18
247	4
248	74
248	18
249	13
249	0
250	75
250	36
251	65
252	13
252	1
253	73
