0	0
1	1
1	2
1	3
2	4
2	5
2	6
3	7
3	2
4	8
4	1
5	9
5	1
6	10
6	2
7	11
8	12
9	4
9	5
9	6
10	1
10	2
10	3
11	8
11	1
12	7
12	2
13	10
13	2
14	9
14	1
15	12
16	11
17	13
17	14
18	2
18	15
19	16
19	1
20	1
20	17
21	18
21	2
22	19
23	20
24	16
24	1
25	2
25	15
26	18
26	2
27	1
27	17
28	20
29	19
30	21
30	4
31	22
31	14
32	23
33	24
34	22
34	14
35	24
36	23
37	25
37	5
38	26
39	27
40	27
41	26
42	22
42	6
42	3
43	7
43	5
44	28
44	4
45	29
45	5
46	9
46	4
47	7
47	14
48	30
48	14
49	18
50	31
51	32
51	1
52	7
52	14
53	7
53	5
54	4
54	33
55	34
55	14
56	18
56	4
57	35
58	5
58	36
59	16
60	35
61	16
62	9
62	14
63	37
63	2
64	25
64	5
65	18
66	29
66	5
67	9
67	4
68	4
68	33
69	16
69	5
70	9
70	14
71	18
71	4
72	31
73	16
73	5
74	30
74	14
75	34
75	14
76	28
76	4
77	5
77	36
78	37
78	2
